Date,num,Description,Category,Cleared,Amount,Balance
06/29/2014,PAY,Wing Man,Food,,12.59,295.00
06/29/2014,DEP,Grad Gift,Gift,,50.00,345.00
06/29/2014,PAY,Wing Man,Food,,12.59,295.00
06/29/2014,DEP,Grad Gift,Gift,,50.00,345.00
06/29/2014,PAY,Wing Man,Food,,12.59,295.00
06/29/2014,DEP,Grad Gift,Gift,,50.00,345.00
06/29/2014,PAY,Wing Man,Food,,12.59,295.00
06/29/2014,DEP,Grad Gift,Gift,,50.00,345.00
06/29/2014,PAY,Wing Man,Food,,12.59,295.00
06/29/2014,DEP,Grad Gift,Gift,,50.00,345.00
06/29/2014,PAY,Wing Man,Food,,12.59,295.00
06/29/2014,DEP,Grad Gift,Gift,,50.00,345.00
06/29/2014,PAY,Wing Man,Food,,12.59,295.00
06/29/2014,DEP,Grad Gift,Gift,,50.00,345.00
06/29/2014,PAY,Wing Man,Food,,12.59,295.00
06/29/2014,DEP,Grad Gift,Gift,,50.00,345.00
06/29/2014,PAY,Wing Man,Food,,12.59,295.00
06/29/2014,DEP,Grad Gift,Gift,,50.00,345.00
06/29/2014,PAY,Wing Man,Food,,12.59,295.00
06/29/2014,DEP,Grad Gift,Gift,,50.00,345.00
06/29/2014,PAY,Wing Man,Food,,12.59,295.00
06/29/2014,DEP,Grad Gift,Gift,,50.00,345.00
06/29/2014,PAY,Wing Man,Food,,12.59,295.00
06/29/2014,DEP,Grad Gift,Gift,,50.00,345.00
06/29/2014,PAY,Wing Man,Food,,12.59,295.00
06/29/2014,DEP,Grad Gift,Gift,,50.00,345.00
06/29/2014,PAY,Wing Man,Food,,12.59,295.00
06/29/2014,DEP,Grad Gift,Gift,,50.00,345.00
06/29/2014,PAY,Wing Man,Food,,12.59,295.00
06/29/2014,DEP,Grad Gift,Gift,,50.00,345.00
06/29/2014,PAY,Wing Man,Food,,12.59,295.00
06/29/2014,DEP,Grad Gift,Gift,,50.00,345.00
06/29/2014,PAY,Wing Man,Food,,12.59,295.00
06/29/2014,DEP,Grad Gift,Gift,,50.00,345.00
06/29/2014,PAY,Wing Man,Food,,12.59,295.00
06/29/2014,DEP,Grad Gift,Gift,,50.00,345.00
06/29/2014,PAY,Wing Man,Food,,12.59,295.00
06/29/2014,DEP,Grad Gift,Gift,,50.00,345.00
06/29/2014,PAY,Wing Man,Food,,12.59,295.00
06/29/2014,DEP,Grad Gift,Gift,,50.00,345.00
